Date,Currency,Rate
2023-12-13,AUD,1.6452
2023-12-13,BGN,1.9558
2023-12-13,BRL,5.3609
2023-12-13,CAD,1.4644
2023-12-13,CHF,0.9452
2023-12-13,CNY,7.7426
2023-12-13,CZK,24.476
2023-12-13,DKK,7.4566
2023-12-13,GBP,0.8612
2023-12-13,HKD,8.4288
2023-12-13,HUF,380.9
2023-12-13,IDR,16862
2023-12-13,ILS,3.9971
2023-12-13,INR,89.96
2023-12-13,ISK,150.7
2023-12-13,JPY,157.13
2023-12-13,KRW,1422.86
2023-12-13,MXN,18.687
2023-12-13,MYR,5.0764
2023-12-13,NOK,11.825
2023-12-13,NZD,1.7691
2023-12-13,PHP,60.493
2023-12-13,PLN,4.326
2023-12-13,RON,4.9738
2023-12-13,SEK,11.277
2023-12-13,SGD,1.449
2023-12-13,THB,38.612
2023-12-13,TRY,31.34
2023-12-13,USD,1.0787
2023-12-13,ZAR,20.587
2023-12-14,AUD,1.6288
2023-12-14,BGN,1.9558
2023-12-14,BRL,5.3349
2023-12-14,CAD,1.4677
2023-12-14,CHF,0.949
2023-12-14,CNY,7.7866
2023-12-14,CZK,24.408
2023-12-14,DKK,7.4566
2023-12-14,GBP,0.85955
2023-12-14,HKD,8.5251
2023-12-14,HUF,379.43
2023-12-14,IDR,16923
2023-12-14,ILS,4.0264
2023-12-14,INR,90.99
2023-12-14,ISK,150.3
2023-12-14,JPY,154.8
2023-12-14,KRW,1412.66
2023-12-14,MXN,18.9001
2023-12-14,MYR,5.1019
2023-12-14,NOK,11.518
2023-12-14,NZD,1.7603
2023-12-14,PHP,60.852
2023-12-14,PLN,4.3123
2023-12-14,RON,4.9712
2023-12-14,SEK,11.18
2023-12-14,SGD,1.4527
2023-12-14,THB,38.146
2023-12-14,TRY,31.667
2023-12-14,USD,1.0919
2023-12-14,ZAR,20.269
2023-12-15,AUD,1.6324
2023-12-15,BGN,1.9558
2023-12-15,BRL,5.4085
2023-12-15,CAD,1.4653
2023-12-15,CHF,0.9488
2023-12-15,CNY,7.7812
2023-12-15,CZK,24.477
2023-12-15,DKK,7.4556
2023-12-15,GBP,0.85833
2023-12-15,HKD,8.5438
2023-12-15,HUF,382.53
2023-12-15,IDR,17028
2023-12-15,ILS,4.0167
2023-12-15,INR,90.94
2023-12-15,ISK,150.5
2023-12-15,JPY,155.15
2023-12-15,KRW,1423.27
2023-12-15,MXN,18.9342
2023-12-15,MYR,5.1123
2023-12-15,NOK,11.4495
2023-12-15,NZD,1.7612
2023-12-15,PHP,61.035
2023-12-15,PLN,4.309
2023-12-15,RON,4.971
2023-12-15,SEK,11.2125
2023-12-15,SGD,1.456
2023-12-15,THB,38.119
2023-12-15,TRY,31.796
2023-12-15,USD,1.0946
2023-12-15,ZAR,19.9801
2023-12-18,AUD,1.6225
2023-12-18,BGN,1.9558
2023-12-18,BRL,5.3935
2023-12-18,CAD,1.4584
2023-12-18,CHF,0.948
2023-12-18,CNY,7.7893
2023-12-18,CZK,24.543
2023-12-18,DKK,7.4549
2023-12-18,GBP,0.86263
2023-12-18,HKD,8.5135
2023-12-18,HUF,385.5
2023-12-18,IDR,16915
2023-12-18,ILS,3.9875
2023-12-18,INR,90.79
2023-12-18,ISK,150.7
2023-12-18,JPY,155.95
2023-12-18,KRW,1419.8
2023-12-18,MXN,18.8458
2023-12-18,MYR,5.1249
2023-12-18,NOK,11.3485
2023-12-18,NZD,1.7514
2023-12-18,PHP,60.966
2023-12-18,PLN,4.345
2023-12-18,RON,4.9687
2023-12-18,SEK,11.145
2023-12-18,SGD,1.4539
2023-12-18,THB,38.218
2023-12-18,TRY,31.729
2023-12-18,USD,1.0918
2023-12-18,ZAR,20.233
2023-12-19,AUD,1.6273
2023-12-19,BGN,1.9558
2023-12-19,BRL,5.3375
2023-12-19,CAD,1.4673
2023-12-19,CHF,0.947
2023-12-19,CNY,7.8231
2023-12-19,CZK,24.525
2023-12-19,DKK,7.4564
2023-12-19,GBP,0.86095
2023-12-19,HKD,8.5498
2023-12-19,HUF,382.98
2023-12-19,IDR,16998
2023-12-19,ILS,4.0015
2023-12-19,INR,91.18
2023-12-19,ISK,150.9
2023-12-19,JPY,158.2
2023-12-19,KRW,1430.22
2023-12-19,MXN,18.7406
2023-12-19,MYR,5.1319
2023-12-19,NOK,11.3655
2023-12-19,NZD,1.755
2023-12-19,PHP,61.343
2023-12-19,PLN,4.3373
2023-12-19,RON,4.9718
2023-12-19,SEK,11.175
2023-12-19,SGD,1.4589
2023-12-19,THB,38.315
2023-12-19,TRY,31.893
2023-12-19,USD,1.0962
2023-12-19,ZAR,20.257
2023-12-20,AUD,1.6186
2023-12-20,BGN,1.9558
2023-12-20,BRL,5.3287
2023-12-20,CAD,1.4609
2023-12-20,CHF,0.946
2023-12-20,CNY,7.8121
2023-12-20,CZK,24.538
2023-12-20,DKK,7.4565
2023-12-20,GBP,0.86555
2023-12-20,HKD,8.5439
2023-12-20,HUF,385.23
2023-12-20,IDR,16994
2023-12-20,ILS,3.9983
2023-12-20,INR,91.06
2023-12-20,ISK,150.3
2023-12-20,JPY,157.12
2023-12-20,KRW,1425.62
2023-12-20,MXN,18.6867
2023-12-20,MYR,5.0977
2023-12-20,NOK,11.2895
2023-12-20,NZD,1.7421
2023-12-20,PHP,60.991
2023-12-20,PLN,4.3413
2023-12-20,RON,4.9699
2023-12-20,SEK,11.129
2023-12-20,SGD,1.4562
2023-12-20,THB,38.252
2023-12-20,TRY,31.883
2023-12-20,USD,1.0944
2023-12-20,ZAR,20.111
2023-12-21,AUD,1.6243
2023-12-21,BGN,1.9558
2023-12-21,BRL,5.3688
2023-12-21,CAD,1.4668
2023-12-21,CHF,0.9432
2023-12-21,CNY,7.8426
2023-12-21,CZK,24.481
2023-12-21,DKK,7.4558
2023-12-21,GBP,0.86805
2023-12-21,HKD,8.5781
2023-12-21,HUF,382.4
2023-12-21,IDR,16989
2023-12-21,ILS,3.9718
2023-12-21,INR,91.43
2023-12-21,ISK,150.3
2023-12-21,JPY,156.79
2023-12-21,KRW,1431.04
2023-12-21,MXN,18.7425
2023-12-21,MYR,5.1131
2023-12-21,NOK,11.315
2023-12-21,NZD,1.7536
2023-12-21,PHP,60.978
2023-12-21,PLN,4.3403
2023-12-21,RON,4.9699
2023-12-21,SEK,11.099
2023-12-21,SGD,1.4598
2023-12-21,THB,38.276
2023-12-21,TRY,32.023
2023-12-21,USD,1.0983
2023-12-21,ZAR,20.136
2023-12-22,AUD,1.6197
2023-12-22,BGN,1.9558
2023-12-22,BRL,5.3624
2023-12-22,CAD,1.4639
2023-12-22,CHF,0.9417
2023-12-22,CNY,7.864
2023-12-22,CZK,24.589
2023-12-22,DKK,7.456
2023-12-22,GBP,0.8666
2023-12-22,HKD,8.6105
2023-12-22,HUF,381.93
2023-12-22,IDR,17030
2023-12-22,ILS,3.9764
2023-12-22,INR,91.63
2023-12-22,ISK,150.5
2023-12-22,JPY,156.66
2023-12-22,KRW,1430.05
2023-12-22,MXN,18.6955
2023-12-22,MYR,5.1059
2023-12-22,NOK,11.2705
2023-12-22,NZD,1.7505
2023-12-22,PHP,61.067
2023-12-22,PLN,4.342
2023-12-22,RON,4.9708
2023-12-22,SEK,11.0556
2023-12-22,SGD,1.4593
2023-12-22,THB,38.084
2023-12-22,TRY,32.204
2023-12-22,USD,1.1023
2023-12-22,ZAR,20.307
2023-12-27,AUD,1.617
2023-12-27,BGN,1.9558
2023-12-27,BRL,5.3434
2023-12-27,CAD,1.4612
2023-12-27,CHF,0.9438
2023-12-27,CNY,7.9086
2023-12-27,CZK,24.673
2023-12-27,DKK,7.4549
2023-12-27,GBP,0.8683
2023-12-27,HKD,8.6409
2023-12-27,HUF,381.63
2023-12-27,IDR,17060
2023-12-27,ILS,4.0028
2023-12-27,INR,92.19
2023-12-27,ISK,150.7
2023-12-27,JPY,157.81
2023-12-27,KRW,1432.67
2023-12-27,MXN,18.7422
2023-12-27,MYR,5.122
2023-12-27,NOK,11.2355
2023-12-27,NZD,1.7483
2023-12-27,PHP,61.619
2023-12-27,PLN,4.3308
2023-12-27,RON,4.9728
2023-12-27,SEK,11.066
2023-12-27,SGD,1.4628
2023-12-27,THB,38.097
2023-12-27,TRY,32.534
2023-12-27,USD,1.1065
2023-12-27,ZAR,20.429
2023-12-28,AUD,1.6246
2023-12-28,BGN,1.9558
2023-12-28,BRL,5.3739
2023-12-28,CAD,1.4698
2023-12-28,CHF,0.9302
2023-12-28,CNY,7.8941
2023-12-28,CZK,24.714
2023-12-28,DKK,7.4545
2023-12-28,GBP,0.8706
2023-12-28,HKD,8.6876
2023-12-28,HUF,383.1
2023-12-28,IDR,17137
2023-12-28,ILS,4.0221
2023-12-28,INR,92.45
2023-12-28,ISK,150.3
2023-12-28,JPY,156.57
2023-12-28,KRW,1429.08
2023-12-28,MXN,18.7767
2023-12-28,MYR,5.1213
